Instance Date: 20090402

VehicleNumber---RequestNumber---MaxTravelTime---DisinfectionTime
    6             114               90             30

VehicleCapacity---VehicleLunchReadyTime---VehicleLunchDueTime---VehicleLunchDuration
    9                    750                    810                     60

LocationID---StaffDemand---SeatDemand---ReadyTime---DueTime---ServiceTime
    0            0              0          450        1230         0
    1            3              3          625         685         3
    2            2            1.5          490         550        10
    3            2            1.5          480         540        10
    4            2            2.5          640         700        10
    5            2            1.5          625         685         3
    6            2            2.5          540         600        12
    7            2            1.5          610         670         3
    8            2            1.5          495         585         8
    9            2            1.5          480         510         8
   10            2            2.5          480         540        10
   11            2            1.5          505         565        10
   12            2            2.5          490         550        10
   13            2            1.5          490         550         3
   14            3              1          480         750         8
   15            2              1          480        1200         8
   16            2              1          750        1200         8
   17            2              3          480        1200         8
   18            3              3          480         750         8
   19            2              1          540         690         8
   20            2              1          510         660         8
   21            2              3          495         585         8
   22            2            1.5          555         645         8
   23            2            2.5          520         580        10
   24            2            1.5          480         540        10
   25            2            1.5          490         550        10
   26            2              1          750        1200         8
   27            2            1.5          480         510        10
   28            2              4          535         595        10
   29            2              3          540         690         8
   30            2              3          600         750         8
   31            2              1          540         690         8
   32            2              1          540         690         8
   33            3              3          480        1200         8
   34            3              3          480         750         8
   35            2            1.5          627         687         8
   36            2            1.5          595         655         8
   37            2            2.5          870         930        10
   38            2            2.5          780         840        10
   39            2            2.5          649         709         8
   40            2            1.5          640         700         8
   41            2              1          480        1200         8
   42            2              1          480        1200         8
   43            2            1.5          666         786         8
   44            2              1          750        1200         8
   45            2            1.5          735         825         8
   46            2              3          681         801         8
   47            2              1          480        1200         8
   48            2              1          480        1200         8
   49            2            2.5          745         805         9
   50            3              3          480        1200         8
   51            2              3          675         795         8
   52            2              4          900         960        10
   53            3            2.5          685         745         8
   54            3            1.5          673         733         8
   55            2              1          480        1200         8
   56            2              3          780         900         8
   57            2            1.5          780         840        10
   58            2              3          480        1200         8
   59            2              3          750        1200         8
   60            2            2.5          669         789         8
   61            3              3          750        1200         8
   62            2              3          480        1200         8
   63            2            2.5          670         730         8
   64            2              3          874         994         8
   65            2              1          480        1200         8
   66            2              1          480        1200         8
   67            3              3          750        1200         8
   68            2              1          480        1200         8
   69            2              1          480        1200         8
